event_id,true_label,predicted_label,prompt_condition,reasoning,failure_type
FO45_20240205_122405,machine_problem,machine_problem,v3_baseline_fewshot,"The event shows a long sequence of 'no_defect' without any defects or tears, indicating stable machine operation without paper issues.",correct
FO45_20240123_031111,machine_problem,machine_problem,v3_baseline_fewshot,"The presence of repeated 'Kantenfehler' without tears suggests a mechanical issue rather than a paper problem, as there is no progressive tearing.",correct
FO37_20240820_050937,machine_problem,machine_problem,v3_baseline_fewshot,"The frequent 'rollenwechsel' and periodic 'tear' occurrences suggest mechanical instability, consistent with machine problems.",correct
FO51_20240126_141512,machine_problem,paper_problem,v3_baseline_fewshot,"The sequence shows 'tear' events following 'defect' and 'Kantenfehler', indicating potential paper weakness leading to breaks.",shortcut_other
FO59_20231109_162348,machine_problem,machine_problem,v3_baseline_fewshot,"The abrupt 'tear' following 'rollenwechsel' and 'defect' suggests a mechanical issue, as seen in machine problem examples.",correct
FO59_20230309_171350,machine_problem,paper_problem,v3_baseline_fewshot,"The frequent 'tear' events interspersed with 'no_defect' suggest intrinsic paper weakness, aligning with paper problem examples.",shortcut_visual_pattern
FO59_20241205_081440,machine_problem,machine_problem,v3_baseline_fewshot,"The event shows a long sequence of 'no_defect' without any defects or tears, indicating stable machine operation without paper issues.",correct
FO46_20240617_183745,machine_problem,paper_problem,v3_baseline_fewshot,"The presence of 'tear' events following 'Kantenfehler' suggests paper weakness, as the tears occur after defects, indicating paper issues.",shortcut_other
FO53_20240827_163949,machine_problem,machine_problem,v3_baseline_fewshot,"The sequence of 'defect' events without tears suggests mechanical issues, as the defects are frequent and not followed by tears.",correct
FO45_20240912_213856,machine_problem,machine_problem,v3_baseline_fewshot,"The sequence shows 'rollenwechsel' followed by 'tear', indicating mechanical instability, consistent with machine problems.",correct
FO55_20230508_205434,machine_problem,machine_problem,v3_baseline_fewshot,"The event shows a sequence of Kantenfehler and rollenwechsel followed by a long tear, suggesting mechanical instability rather than paper weakness.",correct
FO45_20230807_032950,machine_problem,paper_problem,v3_baseline_fewshot,"The event has a long sequence of no_defect followed by a single defect, indicating a localized paper issue rather than a mechanical problem.",shortcut_other
FO51_20240815_104403,machine_problem,machine_problem,v3_baseline_fewshot,"The presence of frequent Kantenfehler and defects, along with multiple tears, suggests mechanical instability rather than a paper issue.",correct
FO53_20241022_135833,machine_problem,paper_problem,v3_baseline_fewshot,"The event shows a pattern of defects interspersed with no_defect, which is more indicative of paper issues rather than mechanical problems.",shortcut_other
FO53_20240117_205314,machine_problem,machine_problem,v3_baseline_fewshot,"The sequence of defects and Kantenfehler, along with frequent rollenwechsel, suggests mechanical issues rather than paper weakness.",correct
FO45_20240306_050250,machine_problem,paper_problem,v3_baseline_fewshot,"The event shows a pattern of defects interspersed with no_defect, which is more indicative of paper issues rather than mechanical problems.",shortcut_other
FO37_20240831_033544,machine_problem,machine_problem,v3_baseline_fewshot,"The event is dominated by Kantenfehler and frequent rollenwechsel, suggesting mechanical instability rather than paper weakness.",correct
FO51_20230216_105724,machine_problem,machine_problem,v3_baseline_fewshot,"The event shows a sequence of defects and tears interspersed with Kantenfehler, suggesting mechanical instability rather than paper weakness.",correct
FO46_20220706_215501,paper_problem,machine_problem,v3_baseline_fewshot,"The event shows a sequence of defects and tears interspersed with Kantenfehler, suggesting mechanical instability rather than paper weakness.",majority_class_bias
FO56_20240619_051021,machine_problem,machine_problem,v3_baseline_fewshot,"The event shows a sequence of defects and tears interspersed with Kantenfehler, suggesting mechanical instability rather than paper weakness.",correct
FO38_20230119_091518,machine_problem,,v3_baseline_fewshot,Parse error: Number of classifications (11) doesn't match number of events (10),other
FO56_20240513_094420,machine_problem,,v3_baseline_fewshot,Parse error: Number of classifications (11) doesn't match number of events (10),other
FO45_20230801_172438,machine_problem,,v3_baseline_fewshot,Parse error: Number of classifications (11) doesn't match number of events (10),other
