event_id;event_text;true_label;predicted_label;confidence;reasoning;correct
FO45_20240205_122405;"Speed: 12.2 m/s | Grammage: 38.0 g/m2 | Paper length: 12683.0 m
Rollenwechsler A: no_defect x1500
Rollenwechsler B: no_defect x1500";machine_problem;machine_problem;high;The event shows a long sequence of 'no_defect' without any defects or tears, indicating stable machine operation without paper issues.;True
FO45_20240123_031111;"Speed: 8.8 m/s | Grammage: 60.0 g/m2 | Paper length: 24453.0 m
Rollenwechsler A: no_defect x1500
Rollenwechsler B: no_defect x7 -> Kantenfehler x3 -> no_defect x28 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x28 -> Kantenfehler x3 -> no_defect x27 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x27 -> Kantenfehler x4 -> no_defect x27 -> Kantenfehler x2 -> no_defect x27 -> Kantenfehler x3 -> no_defect x28 -> Kantenfehler x1 -> no_defect x28 -> Kantenfehler x2 -> no_defect x27 -> Kantenfehler x1 -> no_defect x27 -> Kantenfehler x2 -> no_defect x27 -> Kantenfehler x1 -> no_defect x26 -> Kantenfehler x2 -> no_defect x26 -> Kantenfehler x3 -> no_defect x27 -> Kantenfehler x1 -> no_defect x24 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x25 -> Kantenfehler x1 -> no_defect x26 -> Kantenfehler x3 -> no_defect x24 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x24 -> Kantenfehler x3 -> no_defect x25 -> Kantenfehler x1 -> no_defect x25 -> Kantenfehler x1 -> no_defect x24 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x24 -> Kantenfehler x3 -> no_defect x23 -> Kantenfehler x2 -> no_defect x49 -> Kantenfehler x3 -> no_defect x24 -> Kantenfehler x1 -> no_defect x23 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x24 -> Kantenfehler x1 -> no_defect x23 -> Kantenfehler x2 -> no_defect x24 -> Kantenfehler x1 -> no_defect x24 -> Kantenfehler x1 -> no_defect x24 -> Kantenfehler x1 -> no_defect x23 -> Kantenfehler x1 -> no_defect x23 -> Kantenfehler x1 -> no_defect x22 -> Kantenfehler x2 -> no_defect x22 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x22 -> Kantenfehler x2 -> no_defect x22 -> Kantenfehler x1 -> no_defect x23 -> Kantenfehler x1 -> no_defect x21 -> Kantenfehler x3 -> no_defect x22 -> Kantenfehler x1 -> no_defect x22 -> Kantenfehler x2 -> no_defect x45 -> Kantenfehler x1 -> no_defect x20 -> Kantenfehler x3 -> no_defect x20 -> Kantenfehler x2 -> no_defect x21 -> Kantenfehler x1 -> no_defect x23 -> Kantenfehler x1 -> no_defect x21 -> Kantenfehler x1 -> no_defect x21 -> Kantenfehler x2 -> no_defect x20 -> Kantenfehler x3 -> no_defect x20 -> Kantenfehler x2 -> no_defect x21 -> Kantenfehler x2 -> no_defect x6 -> Kantenfehler x1 -> no_defect x16 -> Kantenfehler x2 -> no_defect x24 -> Kantenfehler x2 -> no_defect x26 -> Kantenfehler x1 -> no_defect x17";machine_problem;machine_problem;medium;The presence of repeated 'Kantenfehler' without tears suggests a mechanical issue rather than a paper problem, as there is no progressive tearing.;True
FO37_20240820_050937;"Speed: 8.7 m/s | Grammage: unknown g/m2 | Paper length: 60.0 m
RW A-Seite: no_defect x3 -> defect x1 -> no_defect x31 -> defect x1 -> no_defect x25 -> Kantenfehler x1 -> no_defect x117 -> defect x1 -> no_defect x42 -> Kantenfehler x1 -> no_defect x96 -> Kantenfehler x1 -> no_defect x38 -> defect x1 -> no_defect x265 -> defect x1 -> no_defect x1 -> defect x1 -> no_defect x143 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x43 -> defect x1 -> no_defect x18 -> defect x1 -> no_defect x47 -> Kantenfehler x1 -> no_defect x93 -> rollenwechsel x5 -> no_defect x21 -> Kantenfehler x1 -> no_defect x3 -> defect x1 -> no_defect x24 -> defect x1 -> no_defect x6 -> Kantenfehler x1 -> no_defect x5 -> Kantenfehler x1 -> no_defect x32 -> Kantenfehler x1 -> no_defect x35 -> defect x1 -> no_defect x10 -> defect x1 -> no_defect x7 -> defect x1 -> no_defect x5 -> defect x1 -> no_defect x4 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x74 -> defect x1 -> no_defect x15 -> defect x1 -> no_defect x6 -> defect x1 -> no_defect x9 -> defect x1 -> no_defect x6 -> defect x2 -> no_defect x52 -> defect x1 -> no_defect x31 -> defect x1 -> no_defect x64 -> defect x1 -> no_defect x19 -> defect x1 -> no_defect x24 -> defect x2 -> no_defect x21 -> tear x15 -> defect x1 -> tear x502
RW B-Seite: tear x144 -> rollenwechsel x1 -> tear x12 -> rollenwechsel x1 -> tear x100 -> rollenwechsel x1 -> tear x69 -> rollenwechsel x1 -> tear x46 -> rollenwechsel x1 -> tear x8 -> rollenwechsel x1 -> tear x74 -> rollenwechsel x1 -> tear x50 -> rollenwechsel x1 -> tear x25 -> rollenwechsel x1 -> tear x13 -> rollenwechsel x1 -> tear x6 -> rollenwechsel x2 -> tear x31 -> rollenwechsel x1 -> tear x1 -> rollenwechsel x1 -> tear x19 -> rollenwechsel x1 -> tear x45 -> rollenwechsel x1 -> tear x38 -> rollenwechsel x1 -> tear x18 -> rollenwechsel x1 -> tear x3 -> rollenwechsel x1 -> tear x6 -> rollenwechsel x1 -> tear x11 -> rollenwechsel x2 -> tear x11 -> rollenwechsel x2 -> tear x23 -> rollenwechsel x1 -> tear x22 -> rollenwechsel x1 -> tear x33 -> rollenwechsel x1 -> tear x56 -> rollenwechsel x1 -> tear x48 -> rollenwechsel x1 -> tear x15 -> rollenwechsel x1 -> tear x1 -> rollenwechsel x1 -> tear x13 -> rollenwechsel x1 -> tear x7 -> rollenwechsel x5 -> tear x21 -> rollenwechsel x1 -> tear x7 -> rollenwechsel x1 -> tear x32 -> rollenwechsel x1 -> tear x16 -> rollenwechsel x1 -> tear x59 -> rollenwechsel x1 -> tear x7 -> rollenwechsel x1 -> tear x27 -> rollenwechsel x1 -> tear x6 -> rollenwechsel x1 -> tear x101 -> rollenwechsel x1 -> tear x124 -> rollenwechsel x1 -> tear x38 -> rollenwechsel x1 -> tear x566";machine_problem;machine_problem;high;The frequent 'rollenwechsel' and periodic 'tear' occurrences suggest mechanical instability, consistent with machine problems.;True
FO51_20240126_141512;"Speed: 13.5 m/s | Grammage: 48.0 g/m2 | Paper length: 2460.0 m
Seite A: no_defect x82 -> Kantenfehler x1 -> no_defect x80 -> Kantenfehler x1 -> no_defect x484 -> Kantenfehler x1 -> no_defect x67 -> Kantenfehler x1 -> no_defect x378 -> Kantenfehler x1 -> no_defect x28 -> defect x2 -> tear x3 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> defect x3 -> Kantenfehler x2 -> defect x5 -> tear x107
Seite B: no_defect x898 -> Kantenfehler x1 -> no_defect x45 -> Kantenfehler x1 -> no_defect x200 -> tear x2 -> Kantenfehler x9 -> no_defect x1 -> tear x93";machine_problem;paper_problem;medium;The sequence shows 'tear' events following 'defect' and 'Kantenfehler', indicating potential paper weakness leading to breaks.;False
FO59_20231109_162348;"Speed: 15.8 m/s | Grammage: 45.0 g/m2 | Paper length: 6.0 m
Seite A: no_defect x471 -> defect x1 -> rollenwechsel x3 -> no_defect x9 -> rollenwechsel x2 -> no_defect x6 -> tear x508
Seite B: no_defect x471 -> rollenwechsel x4 -> no_defect x8 -> rollenwechsel x3 -> no_defect x7 -> tear x507";machine_problem;machine_problem;high;The abrupt 'tear' following 'rollenwechsel' and 'defect' suggests a mechanical issue, as seen in machine problem examples.;True
FO59_20230309_171350;"Speed: unknown m/s | Grammage: unknown g/m2 | Paper length: 226.0 m
Seite A: no_defect x70 -> tear x1 -> no_defect x23 -> tear x1 -> no_defect x13 -> tear x1 -> no_defect x71 -> tear x1 -> no_defect x116 -> tear x1 -> no_defect x52 -> rollenwechsel x1 -> tear x1 -> no_defect x1 -> tear x1 -> no_defect x44 -> tear x1 -> rollenwechsel x1 -> no_defect x55 -> tear x1 -> no_defect x34 -> tear x1 -> no_defect x20 -> tear x2 -> no_defect x2 -> tear x1 -> no_defect x79 -> tear x1 -> no_defect x50 -> tear x2 -> no_defect x31 -> tear x2 -> no_defect x22 -> tear x1 -> no_defect x33 -> tear x1 -> no_defect x39 -> defect x1 -> no_defect x222
Seite B: no_defect x715 -> tear x1 -> no_defect x1 -> tear x55 -> no_defect x1 -> tear x2 -> no_defect x3 -> tear x2 -> no_defect x6 -> tear x2 -> no_defect x2 -> tear x1 -> no_defect x8 -> tear x1 -> no_defect x1 -> tear x1 -> no_defect x28 -> tear x1 -> no_defect x7 -> tear x1 -> no_defect x15 -> tear x1 -> no_defect x29 -> tear x1 -> no_defect x7 -> tear x1 -> no_defect x4 -> tear x1 -> no_defect x5 -> tear x1 -> no_defect x96";machine_problem;paper_problem;medium;The frequent 'tear' events interspersed with 'no_defect' suggest intrinsic paper weakness, aligning with paper problem examples.;False
FO59_20241205_081440;"Speed: unknown m/s | Grammage: 40.0 g/m2 | Paper length: 15748.0 m
Seite A: no_defect x1000
Seite B: no_defect x1000";machine_problem;machine_problem;high;The event shows a long sequence of 'no_defect' without any defects or tears, indicating stable machine operation without paper issues.;True
FO46_20240617_183745;"Speed: 13.5 m/s | Grammage: 57.0 g/m2 | Paper length: 3022.0 m
Rollenwechsler A: no_defect x470 -> Kantenfehler x1 -> no_defect x1296 -> tear x1 -> no_defect x10 -> tear x2 -> no_defect x10 -> tear x1 -> no_defect x2 -> tear x207
Rollenwechsler B: no_defect x31 -> Kantenfehler x1 -> no_defect x149 -> Kantenfehler x1 -> no_defect x28 -> Kantenfehler x1 -> no_defect x57 -> Kantenfehler x1 -> no_defect x2 -> Kantenfehler x1 -> no_defect x8 -> Kantenfehler x1 -> no_defect x14 -> Kantenfehler x1 -> no_defect x28 -> Kantenfehler x1 -> no_defect x146 -> Kantenfehler x1 -> no_defect x105 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x3 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x8 -> Kantenfehler x1 -> no_defect x8 -> Kantenfehler x1 -> no_defect x45 -> Kantenfehler x1 -> no_defect x111 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x6 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x1 -> no_defect x3 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x2 -> no_defect x2 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x3 -> Kantenfehler x3 -> no_defect x1 -> Kantenfehler x1 -> no_defect x2 -> Kantenfehler x2 -> no_defect x7 -> Kantenfehler x3 -> no_defect x2 -> Kantenfehler x1 -> no_defect x2 -> Kantenfehler x3 -> no_defect x1 -> Kantenfehler x4 -> no_defect x1 -> Kantenfehler x11 -> no_defect x1 -> Kantenfehler x3 -> no_defect x2 -> Kantenfehler x3 -> no_defect x1 -> Kantenfehler x1 -> no_defect x2 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x7 -> no_defect x1 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x8 -> no_defect x1 -> Kantenfehler x34 -> no_defect x1 -> Kantenfehler x12 -> no_defect x1 -> Kantenfehler x4 -> no_defect x1 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x1 -> no_defect x4 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x3 -> no_defect x2 -> Kantenfehler x4 -> no_defect x2 -> Kantenfehler x4 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x1 -> no_defect x2 -> Kantenfehler x3 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x2 -> no_defect x2 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x3 -> no_defect x3 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x2 -> Kantenfehler x1 -> no_defect x2 -> Kantenfehler x1 -> no_defect x3 -> Kantenfehler x4 -> no_defect x1 -> Kantenfehler x9 -> no_defect x3 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x10 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x15 -> no_defect x1 -> Kantenfehler x7 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x4 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x9 -> no_defect x1 -> Kantenfehler x9 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x4 -> no_defect x1 -> Kantenfehler x6 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x17 -> no_defect x3 -> Kantenfehler x5 -> no_defect x2 -> Kantenfehler x1 -> no_defect x4 -> Kantenfehler x3 -> no_defect x1 -> Kantenfehler x7 -> no_defect x1 -> Kantenfehler x1 -> no_defect x2 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x4 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x8 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x4 -> no_defect x1 -> Kantenfehler x3 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x3 -> no_defect x1 -> Kantenfehler x6 -> no_defect x1 -> Kantenfehler x16 -> no_defect x1 -> Kantenfehler x4 -> no_defect x1 -> Kantenfehler x4 -> no_defect x1 -> Kantenfehler x7 -> no_defect x2 -> Kantenfehler x15 -> no_defect x1 -> Kantenfehler x21 -> no_defect x2 -> Kantenfehler x3 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x1 -> no_defect x2 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x6 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x3 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x2 -> no_defect x4 -> Kantenfehler x6 -> no_defect x1 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x5 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x3 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x7 -> no_defect x3 -> Kantenfehler x1 -> no_defect x4 -> Kantenfehler x3 -> no_defect x12 -> Kantenfehler x12 -> no_defect x2 -> Kantenfehler x6 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x3 -> no_defect x8 -> Kantenfehler x4 -> no_defect x3 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x13 -> Kantenfehler x1 -> no_defect x8 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x2 -> no_defect x3 -> Kantenfehler x1 -> no_defect x2 -> Kantenfehler x1 -> no_defect x3 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x2 -> no_defect x4 -> Kantenfehler x2 -> no_defect x5 -> Kantenfehler x3 -> no_defect x2 -> Kantenfehler x1 -> no_defect x8 -> Kantenfehler x1 -> no_defect x3 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x4 -> Kantenfehler x2 -> no_defect x1 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x6 -> no_defect x3 -> Kantenfehler x1 -> no_defect x5 -> Kantenfehler x1 -> no_defect x6 -> Kantenfehler x1 -> no_defect x3 -> Kantenfehler x1 -> no_defect x39 -> Kantenfehler x1 -> no_defect x44 -> Kantenfehler x1 -> no_defect x3 -> Kantenfehler x1 -> no_defect x8 -> Kantenfehler x1 -> no_defect x9 -> Kantenfehler x1 -> no_defect x7 -> Kantenfehler x1 -> no_defect x1 -> Kantenfehler x1 -> no_defect x19 -> Kantenfehler x1 -> no_defect x23 -> Kantenfehler x1 -> no_defect x31 -> Kantenfehler x1 -> no_defect x8 -> tear x204";machine_problem;paper_problem;medium;The presence of 'tear' events following 'Kantenfehler' suggests paper weakness, as the tears occur after defects, indicating paper issues.;False
FO53_20240827_163949;"Speed: 13.9 m/s | Grammage: 52.0 g/m2 | Paper length: 22561.0 m
Seite A: no_defect x1264 -> defect x236
Seite B: no_defect x773 -> defect x1 -> no_defect x25 -> defect x1 -> no_defect x52 -> defect x1 -> no_defect x38 -> defect x1 -> no_defect x33 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x9 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x3 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x10 -> defect x1 -> no_defect x4 -> defect x1 -> no_defect x29 -> defect x1 -> no_defect x6 -> defect x1 -> no_defect x5 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x8 -> defect x2 -> no_defect x1 -> defect x2 -> no_defect x5 -> defect x1 -> no_defect x6 -> defect x1 -> no_defect x4 -> defect x1 -> no_defect x1 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x4 -> defect x1 -> no_defect x1 -> defect x1 -> no_defect x1 -> defect x3 -> no_defect x2 -> defect x1 -> no_defect x9 -> defect x1 -> no_defect x4 -> defect x1 -> no_defect x1 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x1 -> defect x1 -> no_defect x2 -> defect x2 -> no_defect x1 -> defect x1 -> no_defect x2 -> defect x2 -> no_defect x2 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x2 -> defect x6 -> no_defect x2 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x5 -> defect x1 -> no_defect x6 -> defect x1 -> no_defect x1 -> defect x1 -> no_defect x3 -> defect x1 -> no_defect x3 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x2 -> defect x3 -> no_defect x1 -> defect x2 -> no_defect x1 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x6 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x2 -> defect x2 -> no_defect x1 -> defect x3 -> no_defect x2 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x1 -> defect x3 -> no_defect x1 -> defect x1 -> no_defect x1 -> defect x2 -> no_defect x5 -> defect x1 -> no_defect x1 -> defect x1 -> no_defect x4 -> defect x1 -> no_defect x2 -> defect x3 -> no_defect x2 -> defect x1 -> no_defect x5 -> defect x1 -> no_defect x1 -> defect x9 -> no_defect x1 -> defect x1 -> no_defect x9 -> defect x1 -> no_defect x1 -> defect x4 -> no_defect x1 -> defect x1 -> no_defect x1 -> defect x3 -> no_defect x2 -> defect x3 -> no_defect x1 -> defect x1 -> no_defect x2 -> defect x3 -> no_defect x1 -> defect x4 -> no_defect x26 -> defect x4 -> no_defect x3 -> defect x13 -> no_defect x2 -> defect x3 -> no_defect x2 -> defect x5 -> no_defect x1 -> defect x2 -> no_defect x3 -> defect x1 -> no_defect x4 -> defect x3 -> no_defect x2 -> defect x2 -> no_defect x4 -> defect x2 -> no_defect x3 -> defect x1 -> no_defect x39 -> defect x1 -> no_defect x5 -> defect x1 -> no_defect x11 -> defect x1 -> no_defect x23 -> defect x1 -> no_defect x2 -> defect x4 -> no_defect x3 -> defect x1 -> no_defect x4 -> defect x1 -> no_defect x3 -> defect x4 -> no_defect x1 -> defect x4 -> no_defect x1 -> defect x39";machine_problem;machine_problem;medium;The sequence of 'defect' events without tears suggests mechanical issues, as the defects are frequent and not followed by tears.;True
FO45_20240912_213856;"Speed: 9.6 m/s | Grammage: 100.0 g/m2 | Paper length: 31.0 m
Rollenwechsler A: no_defect x1132 -> rollenwechsel x8 -> no_defect x11 -> defect x6 -> no_defect x5 -> defect x1 -> no_defect x8 -> defect x3 -> no_defect x7 -> defect x1 -> no_defect x8 -> defect x2 -> no_defect x2 -> defect x1 -> no_defect x13 -> defect x7 -> no_defect x4 -> defect x1 -> no_defect x8 -> defect x1 -> no_defect x1 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x16 -> defect x1 -> no_defect x15 -> defect x4 -> no_defect x16 -> defect x3 -> no_defect x5 -> defect x1 -> no_defect x8 -> defect x5 -> no_defect x14 -> defect x1 -> no_defect x2 -> defect x1 -> no_defect x18 -> defect x2 -> no_defect x12 -> defect x1 -> no_defect x2 -> rollenwechsel x1 -> tear x2 -> no_defect x1 -> tear x1 -> defect x1 -> no_defect x4 -> defect x1 -> no_defect x1 -> tear x1 -> no_defect x1 -> tear x125
Rollenwechsler B: no_defect x1132 -> rollenwechsel x7 -> no_defect x97 -> defect x1 -> no_defect x34 -> defect x1 -> no_defect x5 -> defect x1 -> no_defect x12 -> defect x1 -> no_defect x31 -> defect x1 -> no_defect x37 -> defect x1 -> no_defect x1 -> tear x2 -> no_defect x1 -> tear x1 -> no_defect x8 -> tear x1 -> no_defect x1 -> tear x1 -> no_defect x1 -> tear x9 -> defect x1 -> tear x112";machine_problem;machine_problem;medium;The sequence shows 'rollenwechsel' followed by 'tear', indicating mechanical instability, consistent with machine problems.;True
